Designator,Footprint,Quantity,Value,LCSC Part #,Link
"BOOT, RESET",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477,https://www.lcsc.com/product-detail/C720477.html?s_z=n_q_TS-1088-AR02016&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1ZQRFdXUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
"C1, C28, C29, C30",402,4,1uF,,https://www.lcsc.com/product-detail/C52923.html?s_z=n_q_CL05A105KA5NQNC&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1ZeTlVYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktQQlBADxALGw%3D%3D
"C10, C11, C13",805,3,22uF,,https://www.lcsc.com/product-detail/C45783.html?s_z=n_q_CL21A226MAQNNNE&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1dURlBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
"C12, C2, C38, C9",603,4,10uF,,https://www.lcsc.com/product-detail/C19702.html?s_z=n_q_CL10A106KP8NNNC&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1BRQ1lbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
"C14, C15, C19, C20, C21, C22, C23, C24, C25, C26, C27, C37",201,12,100nF,,https://www.lcsc.com/product-detail/C76934.html?s_z=n_q_GRM033R61A104KE15D&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1BfRFRZUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
C16,603,1,2.2uF,,https://www.lcsc.com/product-detail/C23630.html?s_z=n_q_CL10A225KO8NNNC&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1FXRlJYUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
"C17, C18",402,2,22uF,,https://www.lcsc.com/product-detail/C415703.html?s_z=n_q_GRM155R60J226ME11D&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1FVRlBbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
"C3, C31, C5",402,3,10uF,,https://www.lcsc.com/product-detail/C15525.html?s_z=n_q_CL05A106MQ5NUNC&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1dSQVRYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
C32,201,1,2.2uF,,https://www.lcsc.com/product-detail/C319184.html?s_z=n_q_2.2uF%252010V%2520X5R%25200201&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFZYV1BQQFhcVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
"C33, C34",201,2,20pF,,https://www.lcsc.com/product-detail/C325444.html?s_z=n_q_CC0201JRNPO9BN200&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1JUT1BcVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
"C35, C36",201,2,6.8pF,,https://www.lcsc.com/product-detail/C85916.html?s_z=n_q_GRM0335C1H6R8CA01D&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1JSQlNZVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
"C39, C40, C41, C45, C46",603,5,100nf,,https://www.lcsc.com/product-detail/C14663.html?s_z=n_q_CC0603KRX7R9BB104&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1JRT1VbUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
C4,201,1,47nF,,https://www.lcsc.com/product-detail/C505465.html?s_z=n_q_CC0201KRX5R7BB473&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1dQTlZYUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
C6,603,1,44uF,,https://www.lcsc.com/product-detail/C3794525.html?s_z=n_q_44%2520uF&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVF1RRVhYVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
"C7, C8",805,2,10uF,,https://www.lcsc.com/product-detail/C440198.html?s_z=n_q_GRM21BR61H106KE43L&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1dfQlJfVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145,https://www.lcsc.com/product-detail/C2889258.html?s_z=n_q_TF-01A&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1NTT1dbVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
D1,402,1,LED,,https://www.lcsc.com/product-detail/C965793.html?s_z=n_q_XL-1005UGC&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1NeR1lWVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRQFJADxALGw%3D%3D
D2,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,,https://www.aliexpress.us/item/3256812215746950.html?spm=a2g0o.productlist.main.1.179628e6a0iLXy&algo_pvid=fb2e529b-b642-49e9-ac2a-7ce69e470f4f&algo_exp_id=fb2e529b-b642-49e9-ac2a-7ce69e470f4f-0&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.64%213.09%21%21%2124.30%2120.65%21%402101ef5e17877527155554961e0d2c%2112000058278809802%21sea%21US%217130607314%21X%211%210%21n_tag%3A-29919%3Bd%3A894a1d6a%3Bm03_new_user%3A-29895&curPageLogUid=OtKo3ZWj1teS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012402061702%7C_p_origin_prod%3A&_gl=1*1ejlbkr*_gcl_aw*R0NMLjE3ODc1MDQzNzUuQ2p3S0NBand0S3JVQmhBaEVpd0FyNzdab2c3WHJES3JPeU1fNGhkQjFoT3YxRWtOSU95YlZLaEZDa0xYbm9OaFJRVDdJbkx6T0pvcTZCb0N3TTRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3ODc1MDQzNzUuQ2p3S0NBand0S3JVQmhBaEVpd0FyNzdab2c3WHJES3JPeU1fNGhkQjFoT3YxRWtOSU95YlZLaEZDa0xYbm9OaFJRVDdJbkx6T0pvcTZCb0N3TTRRQXZEX0J3RQ..*_gcl_au*ODY4OTkwODM1LjE3ODQzMDkzMjA.*_ga*MTQxMDkyNTMzMC4xNzg3NzUxMDE5*_ga_VED1YSGNC7*czE3ODc3NTEwMTgkbzEkZzEkdDE3ODc3NTI3MTckajU2JGwwJGgw
"J1, J6, J7",TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,3,Screw_Terminal_01x02,,https://tinyurl.com/4t54j69v
"J2, J3, J4, J5",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03,,https://tinyurl.com/u3jnrvzz
J8,JST_BM05B-GHS-TBT_LF__SN__N_,1,BM05B-GHS-TBT_LF__SN__N_,,https://tinyurl.com/397bn54r
